names,from,ngames,cards_per_game,yellows_per_game,reds_per_game,Class
Adrian Cordero Vega,Spain,18.67,4.68,4.45,0.23,Low
Alberto Undiano Mallenco,Spain,20.0,4.9,4.75,0.15,Low
Alejandro Hernandez Hernandez,Spain,18.43,5.83,5.58,0.25,High
Alfonso Alvarez Izquierdo,Spain,18.0,5.96,5.62,0.33,High
Antonio Miguel Mateu Lahoz,Spain,18.57,5.51,5.28,0.22,Medium
Carlos Clos Gomez,Spain,20.0,5.5,5.32,0.18,Medium
Carlos Velasco Carballo,Spain,18.5,7.03,6.65,0.38,High
Carlos del Cerro Grande,Spain,19.43,5.07,4.87,0.21,Low
Cesar Soto Grado,Spain,19.0,4.97,4.92,0.05,Medium
Daniel Jesus Trujillo Suarez,Spain,18.0,5.36,5.08,0.28,Medium
Daniel Ocon Arraiz,Spain,17.0,4.76,4.59,0.18,Low
David Fernandez Borbalan,Spain,18.5,5.59,5.31,0.28,Medium
David Medie Jimenez,Spain,17.5,5.3,5.0,0.3,Medium
Eduardo Prieto,Spain,19.5,5.1,4.92,0.18,Medium
Fernando Teixeira Vitienes,Spain,18.0,6.67,6.0,0.67,High
Guillermo Cuadra Fernandez,Spain,20.0,4.37,4.18,0.18,Low
Ignacio Iglesias Villanueva,Spain,19.2,5.83,5.52,0.31,High
Isidro Diaz de Mera Escuderos,Spain,19.0,4.89,4.58,0.32,Low
Javier Alberola Rojas,Spain,19.75,3.68,3.56,0.13,Low
Javier Estrada Fernandez,Spain,18.86,5.79,5.52,0.27,High
Jesus Gil Manzano,Spain,19.29,5.89,5.65,0.24,High
Jorge Figueroa Vazquez,Spain,18.0,3.94,3.72,0.22,Low
Jose Antonio Teixeira Vitienes,Spain,16.0,6.12,5.81,0.31,High
Jose Gonzalez Gonzalez,Spain,20.5,4.89,4.7,0.2,Low
Jose Luis Munuera Montero,Spain,19.0,4.76,4.47,0.28,Low
Jose Maria Sanchez Martinez,Spain,19.83,5.98,5.73,0.25,High
Juan Martinez Munuera,Spain,18.86,5.09,4.92,0.17,Medium
Mario Melero Lopez,Spain,17.71,5.78,5.6,0.18,High
Pablo Gonzalez Fuertes,Spain,19.5,5.6,5.36,0.24,High
Pedro Jesus Perez Montero,Spain,17.5,5.37,5.23,0.14,Medium
Ricardo de Burgos,Spain,18.83,5.04,4.88,0.16,Medium
Santiago Jaime Latre,Spain,19.0,5.53,5.29,0.24,Medium
Valentin Pizarro Gomez,Spain,18.0,4.19,3.92,0.28,Low
Vicandi Garrido,Spain,19.67,3.95,3.61,0.34,Low
Bastian Dankert,Germany,14.29,4.23,4.06,0.17,High
Benjamin Brand,Germany,8.0,3.7,3.5,0.2,Medium
Benjamin Cortus,Germany,10.8,3.59,3.52,0.07,Medium
Bibiana Steinhaus,Germany,7.67,2.83,2.83,0.0,Low
Christian Dingert,Germany,14.57,4.26,4.12,0.14,High
Daniel Schlager,Germany,10.0,3.97,3.83,0.13,Medium
Daniel Siebert,Germany,15.0,3.97,3.84,0.13,Medium
Deniz Aytekin,Germany,14.14,4.11,3.94,0.17,High
Felix Brych,Germany,17.14,4.06,3.9,0.16,High
Felix Zwayer,Germany,16.0,4.22,4.06,0.16,High
Florian Badstubner,Germany,10.0,3.2,3.2,0.0,Low
Florian Meyer,Germany,15.0,4.43,4.3,0.13,High
Frank Willenborg,Germany,10.8,3.57,3.41,0.17,Low
Guido Winkmann,Germany,12.29,4.08,3.88,0.2,High
Gunter Perl,Germany,13.33,4.1,3.88,0.23,High
Harm Osmers,Germany,12.6,3.4,3.27,0.13,Low
Jochen Drees,Germany,9.67,3.76,3.65,0.1,Medium
Knut Kircher,Germany,16.0,2.97,2.91,0.06,Low
Manual Grafe,Germany,16.86,2.92,2.83,0.09,Low
Marco Fritz,Germany,14.86,3.74,3.62,0.12,Medium
Markus Schmidt,Germany,11.29,4.14,3.9,0.24,High
Martin Petersen,Germany,8.75,3.51,3.4,0.11,Low
Matthias Jollenbeck,Germany,5.0,2.2,2.2,0.0,Low
Michael Weiner,Germany,7.0,3.86,3.79,0.07,Medium
Patrick Ittrich,Germany,8.17,4.49,4.2,0.29,High
Peter Gagelmann,Germany,15.0,3.67,3.53,0.13,Medium
Peter Sippel,Germany,12.0,3.67,3.46,0.21,Medium
Robert Hartmann,Germany,11.86,3.41,3.28,0.13,Low
Robert Kampka,Germany,8.75,4.26,4.23,0.03,High
Robert Schroder,Germany,10.33,4.1,3.97,0.13,High
Sascha Stegemann,Germany,14.43,3.72,3.57,0.15,Medium
Soren Storks,Germany,9.75,3.44,3.31,0.13,Low
Sven Jablonski,Germany,11.5,3.17,3.13,0.04,Low
Thorsten Kinhofer,Germany,14.0,3.93,3.79,0.14,Medium
Tobias Reichel,Germany,5.0,2.2,2.2,0.0,Low
Tobias Stieler,Germany,15.86,3.66,3.45,0.21,Low
Tobias Welz,Germany,8.83,3.98,3.7,0.28,Medium
Wolfgang Stark,Germany,17.33,4.39,4.21,0.17,High
Alexandre Castro,France,19.0,2.68,2.47,0.21,Low
Amaury Delerue,France,16.57,4.25,4.02,0.23,High
Antony Gautier,France,18.57,3.83,3.55,0.28,Medium
Aurelien Petit,France,15.0,4.4,4.07,0.33,High
Bartolomeu Varela,France,20.33,4.12,3.87,0.25,Medium
Bastien Dechepy,France,14.0,3.79,3.43,0.36,Low
Benoit Bastien,France,18.86,4.31,4.0,0.31,High
Benoit Millot,France,18.86,4.25,4.08,0.17,High
Clement Turpin,France,17.86,3.26,3.01,0.26,Low
Eric Wattellier,France,15.0,3.0,2.8,0.2,Low
Florent Batta,France,14.67,3.36,3.16,0.2,Low
Francois Letexier,France,17.17,4.16,3.89,0.27,High
Frank Schneider,France,18.0,4.12,3.89,0.23,High
Fredy Fautrel,France,15.0,3.87,3.69,0.18,Medium
Hakim Ben El Hadj,France,13.33,4.14,3.91,0.23,High
Jeremie Pignard,France,14.5,3.93,3.66,0.28,Medium
Jeremy Stinat,France,13.0,4.08,3.85,0.23,Medium
Jerome Brisard,France,16.8,3.86,3.56,0.3,Medium
Jerome Miguelgorry,France,14.67,4.16,3.94,0.22,High
Johan Hamel,France,18.33,3.98,3.66,0.32,Medium
Karim Abed,France,16.8,3.8,3.44,0.36,Low
Lionel Jaffredo,France,16.0,4.25,4.1,0.15,High
Mikael Lesage,France,19.43,4.0,3.7,0.3,Medium
Nicolas Rainville,France,14.2,3.8,3.45,0.35,Low
Olivier Thual,France,16.0,3.1,2.86,0.24,Low
Philippe Kalt,France,14.0,2.93,2.79,0.14,Low
Ruddy Buquet,France,20.29,4.25,3.99,0.27,High
Said Ennjimi,France,11.0,3.79,3.58,0.21,Medium
Sebastien Desiage,France,16.33,3.67,3.39,0.29,Low
Sebastien Moreira,France,12.5,3.74,3.48,0.26,Low
Stephane Jochem,France,11.33,3.62,3.41,0.21,Low
Stephane Lannoy,France,12.33,3.76,3.6,0.16,Medium
Stephanie Frappart,France,9.67,3.96,3.9,0.07,High
Thomas Leonard,France,15.75,4.16,3.92,0.24,High
Tony Chapron,France,16.75,3.97,3.72,0.25,Medium
Wilfried Bien,France,14.5,3.62,3.45,0.17,Low
Willy Delajod,France,17.33,4.02,3.69,0.33,Medium
Alessandro Prontera,Italy,3.0,4.0,3.67,0.33,Low
Andrea Gervasoni,Italy,18.5,5.32,5.08,0.24,High
Angelo Cervellera,Italy,16.0,5.25,5.03,0.22,High
Antonio Damato,Italy,16.25,5.14,4.88,0.26,High
Antonio Giua,Italy,6.25,4.88,4.56,0.32,Medium
Carmine Russo,Italy,16.0,4.42,4.25,0.17,Low
Claudio Gavillucci,Italy,12.25,4.84,4.65,0.18,Medium
Daniele Chiffi,Italy,8.0,4.27,4.04,0.23,Low
Daniele Doveri,Italy,17.57,4.89,4.7,0.2,Medium
Daniele Orsato,Italy,16.57,5.54,5.38,0.16,High
Davide Massa,Italy,17.29,5.08,4.87,0.21,High
Dino Tommasi,Italy,18.0,4.06,3.78,0.28,Low
Domenico Celi,Italy,16.5,4.88,4.58,0.3,Medium
Fabio Maresca,Italy,12.0,5.75,5.33,0.42,High
Fabrizio Pasqua,Italy,9.57,3.55,3.4,0.15,Low
Federico Dionisi,Italy,3.0,4.0,4.0,0.0,Low
Federico La Penna,Italy,6.86,4.56,4.31,0.25,Medium
Francesco Fourneau,Italy,3.75,5.73,5.53,0.2,High
Gianluca Manganiello,Italy,8.86,4.08,3.76,0.32,Low
Gianluca Rocchi,Italy,16.67,5.64,5.16,0.48,High
Gianpaolo Calvarese,Italy,16.71,4.53,4.27,0.26,Medium
Giovanni Ayroldi,Italy,4.5,5.0,4.44,0.56,Medium
Juan Luca Sacchi,Italy,4.0,4.2,4.1,0.1,Low
Luca Banti,Italy,17.6,4.87,4.6,0.27,Medium
Luca Pairetto,Italy,11.57,4.98,4.61,0.37,Medium
Manuel Volpi,Italy,3.33,3.3,3.3,0.0,Low
Marco Di Bello,Italy,16.57,5.02,4.72,0.29,Medium
Marco Guida,Italy,15.0,5.79,5.42,0.37,High
Marco Piccinini,Italy,8.5,4.35,4.24,0.12,Low
Massimiliano Irrati,Italy,15.71,5.26,5.03,0.24,High
Maurizio Mariani,Italy,14.71,5.15,4.78,0.37,Medium
Michael Fabbri,Italy,13.29,4.78,4.61,0.17,Medium
Nicola Rizzoli,Italy,17.33,5.85,5.52,0.33,High
Paolo Silvio Mazzoleni,Italy,17.4,4.53,4.22,0.31,Low
Paolo Tagliavento,Italy,16.0,5.02,4.81,0.2,High
Paolo Valeri,Italy,16.0,5.47,5.14,0.33,High
Piero Giacomelli,Italy,16.86,3.93,3.75,0.18,Low
Rosario Abisso,Italy,10.14,4.8,4.59,0.21,Medium
Sebastiano Peruzzo,Italy,17.0,5.18,4.88,0.29,High
Simone Sozza,Italy,4.0,3.62,3.38,0.25,Low
Valerio Marini,Italy,4.0,4.0,4.0,0.0,Low
Aleksei Nikolaev,Russia,16.25,3.89,3.75,0.14,Low
Alexander Egorov,Russia,15.67,4.13,4.04,0.08,Low
Alexei Eskov,Russia,14.5,4.61,4.38,0.23,Medium
Alexei Matyunin,Russia,12.86,4.95,4.7,0.26,High
Artem Chistyakov,Russia,7.5,3.8,3.73,0.07,Low
Artem Lyubimov,Russia,3.0,6.67,6.0,0.67,High
Evgeny Turbin,Russia,10.33,5.34,5.16,0.18,High
Igor Fedotov,Russia,11.0,4.36,4.18,0.18,Medium
Igor Nizovtsev,Russia,12.0,5.08,4.71,0.38,High
Kirill Levnikov,Russia,13.86,4.25,4.06,0.19,Low
Mikhail Vilkov,Russia,16.43,4.51,4.23,0.28,Medium
Nikolay Voloshin,Russia,11.67,4.48,4.28,0.2,Medium
Roman Galimov,Russia,11.33,4.09,4.0,0.09,Low
Sergey Ivanov,Russia,16.86,4.64,4.5,0.14,Medium
Sergey Karasev,Russia,15.86,4.36,4.11,0.25,Low
Sergey Kostevich,Russia,4.0,3.75,3.5,0.25,Low
Sergey Kulikov,Russia,7.33,4.23,4.23,0.0,Medium
Serguei Lapochkin,Russia,18.14,4.62,4.32,0.29,Medium
Vasily Kazartsev,Russia,15.0,6.0,5.76,0.24,High
Vitalj Meshkov,Russia,16.43,5.03,4.78,0.24,High
Vitaly Rushakov,Russia,4.0,3.25,3.0,0.25,Low
Vladimir Moskalev,Russia,13.29,4.58,4.37,0.2,Medium
Vladimir Seldyakov,Russia,9.67,3.89,3.65,0.24,Low
Vladislav Bezborodov,Russia,17.57,5.24,4.94,0.31,High
Andre Marriner,England,25.0,3.16,3.06,0.1,Low
Andy Madley,England,7.5,2.97,2.9,0.07,Low
Anthony Taylor,England,29.86,3.64,3.52,0.11,High
Chris Foy,England,16.0,3.56,3.25,0.31,Medium
Chris Kavanagh,England,17.6,3.28,3.2,0.08,Low
Craig Pawson,England,24.14,3.72,3.54,0.17,High
Darren England,England,6.0,3.17,3.17,0.0,Low
David Coote,England,12.25,3.33,3.22,0.1,Medium
Graham Scott,England,11.71,2.87,2.68,0.18,Low
Jonathan Moss,England,27.29,3.67,3.52,0.15,High
Kevin Friend,England,23.0,3.39,3.29,0.11,Medium
Lee Mason,England,18.71,3.09,2.98,0.11,Low
Lee Probert,England,10.75,2.7,2.49,0.21,Low
Mark Clattenburg,England,26.33,3.51,3.35,0.15,Medium
Martin Atkinson,England,29.0,3.42,3.3,0.12,Medium
Michael Oliver,England,29.57,3.4,3.27,0.14,Medium
Mike Dean,England,28.29,4.2,3.97,0.23,High
Mike Jones,England,19.75,3.3,3.18,0.13,Low
Neil Swarbrick,England,20.25,3.48,3.4,0.09,High
Paul Tierney,England,14.43,3.3,3.21,0.09,Medium
Peter Bankes,England,13.5,3.56,3.37,0.19,High
Phil Dowd,England,21.0,4.71,4.52,0.19,High
Robert Jones,England,5.0,2.7,2.5,0.2,Low
Robert Madley,England,21.25,3.36,3.26,0.11,Medium
Roger East,England,16.2,3.33,3.25,0.09,Medium
Simon Hooper,England,6.6,2.76,2.7,0.06,Low
Stuart Attwell,England,13.43,3.74,3.63,0.12,High
