Round,Date,HomeTeam,HomeYellows,HomeReds,HomeSecondYellows,AwayTeam,AwayYellows,AwayReds,AwaySecondYellows,Referee,RefereeYellows,RefereeReds,Stadium,Location,Attendance
Round 8,30/10/20,Eibar,1,0,0,Cádiz,1,0,0,Antonio Mateu Lahoz,5.18,0.22,Ipurua Municipal Stadium,"Eibar, Spain",
Round 8,31/10/20,Real Madrid,0,0,0,Huesca,2,0,0,Pablo Gonzales Fuertes,5.91,0.37,Santiago Bernabéu,"Madrid, Spain",
Round 8,31/10/20,Athletic Club,5,0,0,Sevilla,5,0,0,Carlos Del Cerro Grande,4.81,0.22,San Mamés,"Bilbao, Spain",1
Round 8,31/10/20,Osasuna,1,0,0,Atl. Madrid,2,0,0,Javier Estrada Fernandez,5.38,0.25,Estadio El Sadar,"Pamplona, Spain",1
Round 8,31/10/20,Alavés,3,0,1,Barcelona,3,0,0,Alejandro Hernandez,5.52,0.27,Estadio de Mendizorroza,"Vitoria-Gasteiz, Spain",
Round 8,01/11/20,Betis,2,0,0,Elche,1,0,0,David Medie Jimenez,4.94,0.31,Benito Villamarin,"Seville, Spain",
Round 8,01/11/20,Celta,1,0,1,Real Sociedad,5,0,0,Adrian Cordero Vega,5.32,0.22,Municipal de Balaidos,"Vigo, Spain",
Round 8,01/11/20,Granada,2,1,0,Levante,3,0,0,Santiago Jaime Latre,5.58,0.22,Estadio Nuevo Los Carmenes,"Granada, Spain",
Round 8,01/11/20,Valencia,7,0,1,Getafe,4,0,1,Jorge Figueroa Vazquez,4.79,0.35,Mestalla,"Valencia, Spain",
Round 8,02/11/20,Villarreal,1,0,0,Valladolid,3,0,0,Javier Alberola Rojas,3.71,0.15,Estadio de la Ceramica,"Villarreal, Spain",
Round 7,23/10/20,Elche,3,0,0,Valencia,2,0,0,Cesar Soto Grado,5.47,0.19,Estadio Martínez Valero,"Elche, Spain",
Round 7,24/10/20,Barcelona,3,0,0,Real Madrid,2,0,0,Juan Martinez Munuera,4.9,0.19,Spotify Camp Nou,"Barcelona, Spain",
Round 7,24/10/20,Osasuna,3,0,0,Athletic Club,2,0,0,Guillermo Cuadra Fernandez,5.03,0.27,Estadio El Sadar,"Pamplona, Spain",
Round 7,24/10/20,Sevilla,0,0,0,Eibar,3,0,0,Alejandro Hernandez,5.52,0.27,Ramón Sánchez Pizjuán,"Seville, Spain",
Round 7,24/10/20,Atl. Madrid,2,0,0,Betis,0,1,0,Antonio Mateu Lahoz,5.18,0.22,Cívitas Metropolitano,"Madrid, Spain",
Round 7,25/10/20,Valladolid,1,1,0,Alavés,0,0,0,José Luis Munuera Montero,4.75,0.37,José Zorrilla,"Valladolid, Spain",
Round 7,25/10/20,Cádiz,2,0,0,Villarreal,2,0,0,Ricardo De Burgos Bengoetxea,4.94,0.17,Estadio Ramon de Carranza,"Cadiz, Spain",
Round 7,25/10/20,Getafe,4,0,0,Granada,2,0,0,Jesus Gil Manzano,5.28,0.26,Coliseum Alfonso Pérez,"Getafe, Spain",
Round 7,25/10/20,Real Sociedad,2,0,0,Huesca,1,0,0,Isidro Diaz de Mera Escuderos,6.35,0.35,Reale Arena,"San Sebastian, Spain",
Round 7,26/10/20,Levante,2,0,0,Celta,2,0,0,Mario Melero Lopez,5.52,0.21,Estadio de la Ceramica,"Villarreal, Spain",
Round 6,17/10/20,Granada,4,0,0,Sevilla,3,0,1,Pablo Gonzales Fuertes,5.91,0.37,Estadio Nuevo Los Carmenes,"Granada, Spain",
Round 6,17/10/20,Celta,3,0,0,Atl. Madrid,4,0,0,Juan Martinez Munuera,4.9,0.19,Municipal de Balaidos,"Vigo, Spain",
Round 6,17/10/20,Real Madrid,2,0,0,Cádiz,0,0,0,Santiago Jaime Latre,5.58,0.22,Santiago Bernabéu,"Madrid, Spain",
Round 6,17/10/20,Getafe,4,0,0,Barcelona,3,0,0,Cesar Soto Grado,5.47,0.19,Coliseum Alfonso Pérez,"Getafe, Spain",
Round 6,18/10/20,Eibar,2,0,0,Osasuna,2,0,1,David Medie Jimenez,4.94,0.31,Ipurua Municipal Stadium,"Eibar, Spain",
Round 6,18/10/20,Athletic Club,3,0,0,Levante,1,0,0,Javier Alberola Rojas,3.71,0.15,San Mamés,"Bilbao, Spain",
Round 6,18/10/20,Villarreal,3,0,1,Valencia,1,0,0,Carlos Del Cerro Grande,4.81,0.22,Estadio de la Ceramica,"Villarreal, Spain",
Round 6,18/10/20,Alavés,2,0,0,Elche,5,0,0,Adrian Cordero Vega,5.32,0.22,Estadio de Mendizorroza,"Vitoria-Gasteiz, Spain",
Round 6,18/10/20,Huesca,1,0,0,Valladolid,2,0,0,Jorge Figueroa Vazquez,4.79,0.35,El Alcoraz,"Huesca, Spain",
Round 6,18/10/20,Betis,2,0,0,Real Sociedad,1,0,0,Javier Estrada Fernandez,5.38,0.25,Benito Villamarin,"Seville, Spain",
