AwayAerialswon,AwayBallpossession,AwayDuelswon,AwayFouls,AwayInterceptions,AwayPossessionlost,AwayTackles,AwayTeam,Date,HomeAerialswon,HomeBallpossession,HomeDuelswon,HomeFouls,HomeInterceptions,HomePossessionlost,HomeTackles,HomeTeam,Round
11,53%,43,15,7,127,9,Rayo Vallecano,4/6/2023,19,47%,61,14,8,114,15,Mallorca,Round 38
12,63%,55,9,5,119,19,Girona,4/6/2023,10,37%,50,12,4,117,19,Osasuna,Round 38
2,36%,53,14,3,113,27,Athletic Club,4/6/2023,5,64%,43,11,5,115,19,Real Madrid,Round 38
17,44%,60,13,6,136,19,Sevilla,4/6/2023,17,56%,55,10,4,135,16,Real Sociedad,Round 38
7,34%,34,12,9,96,16,Atl. Madrid,4/6/2023,9,66%,54,9,4,102,16,Villarreal,Round 38
15,73%,50,9,3,125,12,Barcelona,4/6/2023,5,27%,41,13,7,109,15,Celta,Round 38
12,33%,47,8,10,127,12,Cádiz,4/6/2023,13,67%,46,18,4,137,15,Elche,Round 38
22,37%,55,12,11,109,13,Almería,4/6/2023,9,63%,52,11,4,123,21,Espanyol,Round 38
10,39%,47,11,6,128,11,Valencia,4/6/2023,4,61%,47,11,9,128,17,Betis,Round 38
27,20%,51,25,5,129,18,Getafe,4/6/2023,24,80%,63,9,2,156,5,Real Valladolid,Round 38
9,67%,52,10,11,113,12,Real Madrid,27/05/23,4,33%,42,23,10,105,21,Sevilla,Round 37
14,51%,48,16,1,157,16,Real Valladolid,28/05/23,20,49%,70,11,7,136,21,Almería,Round 37
5,36%,35,10,15,120,14,Elche,28/05/23,12,64%,59,7,8,138,15,Athletic Club,Round 37
12,50%,48,10,12,122,16,Real Sociedad,28/05/23,12,50%,52,8,7,122,18,Atl. Madrid,Round 37
14,22%,35,9,16,99,11,Mallorca,28/05/23,11,78%,43,4,1,111,10,Barcelona,Round 37
18,51%,63,10,7,151,19,Celta,28/05/23,15,49%,48,16,11,154,13,Cádiz,Round 37
27,50%,55,6,13,180,8,Osasuna,28/05/23,28,50%,53,11,15,191,17,Getafe,Round 37
6,46%,37,12,12,80,12,Betis,28/05/23,8,54%,38,14,8,106,6,Girona,Round 37
8,69%,43,9,7,145,14,Villarreal,28/05/23,4,31%,38,9,8,127,18,Rayo Vallecano,Round 37
