Round,Date,HomeTeam,HomeGoals,HomeYellows,HomeReds,HomeSecondYellows,AwayTeam,AwayGoals,AwayYellows,AwayReds,AwaySecondYellows,Referee,RefereeYellows,RefereeReds,Stadium,Location,Attendance
Round 38,21/05/21,Levante,2,0,0,0,Cádiz,2,2,0,0,Javier Estrada Fernandez,5.38,0.25,Ciudad de Valencia,"Valencia, Spain",
Round 38,22/05/21,Celta,2,6,0,0,Betis,3,6,0,1,Jesus Gil Manzano,5.27,0.26,Municipal de Balaidos,"Vigo, Spain",
Round 38,22/05/21,Eibar,0,0,0,0,Barcelona,1,3,0,0,Santiago Jaime Latre,5.58,0.22,Ipurua Municipal Stadium,"Eibar, Spain",
Round 38,22/05/21,Elche,2,3,0,0,Athletic Club,0,0,0,0,Carlos Del Cerro Grande,4.81,0.22,Estadio Martínez Valero,"Elche, Spain",
Round 38,22/05/21,Huesca,0,2,0,0,Valencia,0,1,0,0,Guillermo Cuadra Fernandez,5.03,0.27,El Alcoraz,"Huesca, Spain",
Round 38,22/05/21,Osasuna,0,1,0,0,Real Sociedad,1,0,0,0,Jorge Figueroa Vazquez,4.82,0.36,Estadio El Sadar,"Pamplona, Spain",
Round 38,22/05/21,Real Madrid,2,0,0,0,Villarreal,1,0,0,0,José Luis Munuera Montero,4.75,0.37,Estadio Alfredo di Stefano,"Madrid, Spain",
Round 38,22/05/21,Real Valladolid,1,4,0,0,Atl. Madrid,2,6,0,0,Jose Maria Sanchez Martinez,5.75,0.27,José Zorrilla,"Valladolid, Spain",
Round 38,23/05/21,Granada,0,4,0,0,Getafe,0,2,0,0,David Medie Jimenez,4.94,0.31,Estadio Nuevo Los Carmenes,"Granada, Spain",
Round 38,23/05/21,Sevilla,1,1,0,0,Alavés,0,0,0,0,Isidro Diaz de Mera Escuderos,6.35,0.35,Ramón Sánchez Pizjuán,"Seville, Spain",
Round 37,16/05/21,Athletic Club,0,3,1,0,Real Madrid,1,1,0,0,Antonio Mateu Lahoz,5.18,0.22,San Mamés,"Bilbao, Spain",
Round 37,16/05/21,Atl. Madrid,2,2,0,0,Osasuna,1,2,0,0,Juan Martinez Munuera,4.9,0.19,Cívitas Metropolitano,"Madrid, Spain",
