AwayAerialswon,AwayBallpossession,AwayDuelswon,AwayFouls,AwayInterceptions,AwayPossessionlost,AwayTackles,AwayTeam,Date,HomeAerialswon,HomeBallpossession,HomeDuelswon,HomeFouls,HomeInterceptions,HomePossessionlost,HomeTackles,HomeTeam,Round
8,30%,53,8,8,117,21,Cádiz,21/05/21,14,70%,39,17,4,129,10,Levante,Round 38
20,35%,60,20,8,110,12,Betis,22/05/21,11,65%,51,20,4,114,13,Celta,Round 38
11,67%,45,15,10,119,16,Barcelona,22/05/21,11,33%,46,11,12,125,8,Eibar,Round 38
11,55%,42,6,5,135,12,Athletic Club,22/05/21,13,45%,46,10,9,124,19,Elche,Round 38
14,46%,51,15,4,116,11,Valencia,22/05/21,18,54%,53,17,9,125,13,Huesca,Round 38
17,57%,51,7,8,149,14,Real Sociedad,22/05/21,27,43%,55,15,8,163,14,Osasuna,Round 38
5,45%,35,13,8,108,13,Villarreal,22/05/21,8,55%,46,8,7,129,14,Real Madrid,Round 38
17,51%,52,11,7,151,11,Atl. Madrid,22/05/21,13,49%,54,11,19,138,18,Real Valladolid,Round 38
26,61%,64,13,12,164,16,Getafe,23/05/21,16,39%,50,16,7,160,12,Granada,Round 38
16,31%,48,8,7,118,15,Alavés,23/05/21,18,69%,44,11,10,124,9,Sevilla,Round 38
9,64%,41,7,12,117,9,Real Madrid,16/05/21,7,36%,38,10,4,115,15,Athletic Club,Round 37
11,27%,26,13,9,144,10,Osasuna,16/05/21,25,73%,57,2,5,159,18,Atl. Madrid,Round 37
9,36%,42,14,15,122,25,Celta,16/05/21,9,64%,71,9,9,122,15,Barcelona,Round 37
21,68%,54,15,4,108,12,Elche,16/05/21,14,32%,48,13,1,102,16,Cádiz,Round 37
15,47%,51,11,7,144,19,Granada,16/05/21,36,53%,59,7,12,158,8,Alavés,Round 37
19,66%,62,11,10,144,16,Levante,16/05/21,18,34%,49,15,12,134,16,Getafe,Round 37
20,52%,57,19,9,127,14,Huesca,16/05/21,17,48%,54,15,5,120,9,Betis,Round 37
7,46%,42,11,7,121,6,Real Valladolid,16/05/21,16,54%,48,16,9,100,15,Real Sociedad,Round 37
12,57%,39,7,3,126,14,Eibar,16/05/21,18,43%,51,5,2,121,15,Valencia,Round 37
8,58%,46,7,10,88,11,Sevilla,16/05/21,7,42%,37,9,6,84,16,Villarreal,Round 37
27,36%,75,12,17,158,24,Cádiz,11/5/2021,25,64%,58,15,4,156,18,Osasuna,Round 36
23,33%,58,15,18,97,9,Alavés,11/5/2021,19,67%,55,21,4,120,12,Elche,Round 36
6,61%,42,4,11,102,14,Barcelona,11/5/2021,7,39%,31,12,7,104,9,Levante,Round 36
5,39%,43,6,10,102,8,Valencia,12/5/2021,11,61%,38,17,11,98,10,Sevilla,Round 36
28,39%,76,18,18,181,16,Getafe,12/5/2021,22,61%,64,16,11,161,21,Celta,Round 36
21,49%,51,14,1,147,17,Athletic Club,12/5/2021,9,51%,46,9,14,142,10,Huesca,Round 36
11,65%,41,15,8,114,14,Real Sociedad,12/5/2021,8,35%,39,11,15,104,15,Atl. Madrid,Round 36
17,61%,54,14,6,144,11,Villarreal,13/05/21,14,39%,49,15,14,138,13,Real Valladolid,Round 36
22,36%,60,8,19,175,14,Betis,13/05/21,35,64%,66,12,6,188,12,Eibar,Round 36
13,65%,47,9,12,118,13,Real Madrid,13/05/21,8,35%,42,15,8,129,16,Granada,Round 36
9,26%,32,11,8,118,11,Elche,7/5/2021,19,74%,49,8,4,110,10,Real Sociedad,Round 35
9,46%,33,18,9,127,7,Levante,8/5/2021,19,54%,54,12,5,136,11,Alavés,Round 35
8,41%,53,26,9,109,22,Atl. Madrid,8/5/2021,9,59%,63,13,14,100,19,Barcelona,Round 35
15,67%,50,13,16,122,8,Huesca,8/5/2021,22,33%,59,14,7,120,10,Cádiz,Round 35
25,55%,46,10,14,153,11,Osasuna,8/5/2021,25,45%,47,4,6,155,8,Athletic Club,Round 35
39,61%,78,11,14,179,22,Eibar,9/5/2021,24,39%,44,11,9,187,6,Getafe,Round 35
14,59%,52,6,7,126,12,Real Valladolid,9/5/2021,12,41%,37,17,16,97,8,Valencia,Round 35
11,40%,54,16,5,118,24,Celta,9/5/2021,14,60%,60,11,10,125,10,Villarreal,Round 35
8,41%,38,8,6,112,9,Sevilla,9/5/2021,3,59%,38,8,7,112,16,Real Madrid,Round 35
13,38%,52,11,9,127,19,Granada,10/5/2021,17,62%,40,16,13,125,9,Betis,Round 35
17,46%,56,13,22,162,10,Levante,30/04/21,9,54%,40,12,7,152,17,Celta,Round 34
31,55%,64,12,16,165,13,Alavés,1/5/2021,30,45%,68,12,12,171,18,Eibar,Round 34
12,49%,62,16,6,126,21,Atl. Madrid,1/5/2021,8,51%,43,20,12,129,21,Elche,Round 34
12,53%,46,11,2,140,14,Real Sociedad,1/5/2021,18,47%,45,14,3,142,10,Huesca,Round 34
8,34%,37,12,7,124,18,Osasuna,1/5/2021,15,66%,41,9,4,121,8,Real Madrid,Round 34
19,56%,61,14,13,128,25,Betis,2/5/2021,10,44%,40,7,9,142,9,Real Valladolid,Round 34
21,33%,59,17,5,158,22,Getafe,2/5/2021,15,67%,60,13,9,166,14,Villarreal,Round 34
27,35%,61,10,6,157,17,Cádiz,2/5/2021,24,65%,50,12,3,166,13,Granada,Round 34
12,68%,42,14,15,109,8,Barcelona,2/5/2021,7,32%,31,12,12,103,10,Valencia,Round 34
12,26%,46,15,15,121,17,Athletic Club,3/5/2021,12,74%,38,13,11,123,9,Sevilla,Round 34
14,52%,57,15,6,136,16,Elche,18/04/21,24,48%,62,14,10,134,15,Osasuna,Round 33
16,51%,54,15,10,116,13,Sevilla,18/04/21,19,49%,55,20,6,132,13,Real Sociedad,Round 33
15,39%,37,10,13,143,10,Eibar,18/04/21,11,61%,46,10,10,127,14,Atl. Madrid,Round 33
11,49%,40,13,6,128,8,Huesca,18/04/21,12,51%,36,15,6,120,11,Alavés,Round 33
14,77%,37,13,5,125,11,Celta,18/04/21,17,23%,35,6,13,139,3,Cádiz,Round 33
