Round,Date,HomeTeam,HomeGoals,HomeYellows,HomeReds,HomeSecondYellows,AwayTeam,AwayGoals,AwayYellows,AwayReds,AwaySecondYellows,Referee,RefereeYellows,RefereeReds,Stadium,Location,Attendance
Round 9,23/10/15,Rayo Vallecano,3,3,0,1,Espanyol,0,2,0,1,Eduardo Prieto Iglesias,4.81,0.21,Estadio de Vallecas,"Madrid, Spain",10480
Round 9,24/10/15,Celta,1,5,0,1,Real Madrid,3,1,0,0,Carlos Clos Gomez,5.33,0.3,Municipal de Balaidos,"Vigo, Spain",25494
Round 9,24/10/15,Granada,1,3,0,0,Betis,1,3,0,0,Antonio Mateu Lahoz,5.18,0.22,Estadio Nuevo Los Carmenes,"Granada, Spain",18293
Round 9,24/10/15,Sevilla,5,1,0,0,Getafe,0,2,0,1,Inaki Vicandi Garrido,4.39,0.32,Ramón Sánchez Pizjuán,"Seville, Spain",34595
Round 9,24/10/15,Málaga,2,0,0,0,Deportivo,0,1,0,0,Carlos Velasco Carballo,5.42,0.29,La Rosaleda,"Malaga, Spain",20654
Round 9,25/10/15,Levante,0,4,0,1,Real Sociedad,4,3,0,0,Alberto Undiano,4.53,0.14,Ciudad de Valencia,"Valencia, Spain",14270
Round 9,25/10/15,Las Palmas,0,1,0,0,Villarreal,0,2,0,0,Javier Estrada Fernandez,5.38,0.25,Gran Canaria,"Las Palmas de Gran Canaria, Spain",18517
Round 9,25/10/15,Barcelona,3,3,1,0,Eibar,1,5,0,0,Carlos Del Cerro Grande,4.81,0.22,Spotify Camp Nou,"Barcelona, Spain",78228
Round 9,25/10/15,Atl. Madrid,2,4,0,0,Valencia,1,4,0,0,Jesus Gil Manzano,5.27,0.26,Vicente Calderón,"Madrid, Spain",51099
Round 9,26/10/15,Athletic Club,3,1,0,0,Sporting,0,3,0,0,Ignacio Iglesias Villanueva,5.62,0.35,San Mamés,"Bilbao, Spain",41000
Round 8,17/10/15,Real Madrid,3,1,0,0,Levante,0,4,0,0,Jose Maria Sanchez Martinez,5.74,0.28,Santiago Bernabéu,"Madrid, Spain",74779
Round 8,17/10/15,Eibar,1,3,0,0,Sevilla,1,3,0,0,Juan Martinez Munuera,4.9,0.19,Ipurua Municipal Stadium,"Eibar, Spain",5568
Round 8,17/10/15,Barcelona,5,1,0,0,Rayo Vallecano,2,2,0,0,Pedro Jesus Perez Montero,5.26,0.25,Spotify Camp Nou,"Barcelona, Spain",75472
Round 8,17/10/15,Valencia,3,3,0,0,Málaga,0,3,0,0,Alejandro Hernandez,5.51,0.27,Mestalla,"Valencia, Spain",35756
Round 8,17/10/15,Betis,1,2,0,0,Espanyol,3,4,0,0,Ricardo De Burgos Bengoetxea,4.96,0.17,Benito Villamarin,"Seville, Spain",31652
Round 8,18/10/15,Villarreal,1,2,0,1,Celta,2,3,0,0,Jose Luis Gonzalez Gonzalez,4.82,0.22,Estadio de la Ceramica,"Villarreal, Spain",18219
Round 8,18/10/15,Real Sociedad,0,6,0,2,Atl. Madrid,2,5,0,0,Ignacio Iglesias Villanueva,5.62,0.35,Reale Arena,"San Sebastian, Spain",25644
Round 8,18/10/15,Getafe,4,2,0,0,Las Palmas,0,1,1,0,David Fernandez Borbalan,5.63,0.31,Coliseum Alfonso Pérez,"Getafe, Spain",5875
Round 8,18/10/15,Deportivo,2,2,0,0,Athletic Club,2,2,0,0,Santiago Jaime Latre,5.58,0.22,Riazor,"La Coruna, Spain",26239
Round 8,19/10/15,Sporting,3,3,0,0,Granada,3,6,0,2,Alfonso Alvarez Izquierdo,5.72,0.36,El Molinón,"Gijon, Spain",19905
Round 7,02/10/15,Celta,0,1,0,0,Getafe,0,5,0,0,Eduardo Prieto Iglesias,4.81,0.21,Municipal de Balaidos,"Vigo, Spain",18154
Round 7,03/10/15,Sevilla,2,5,0,0,Barcelona,1,3,0,0,Jesus Gil Manzano,5.27,0.26,Ramón Sánchez Pizjuán,"Seville, Spain",39374
