Round,Date,HomeTeam,HomeGoals,HomeYellows,HomeReds,HomeSecondYellows,AwayTeam,AwayGoals,AwayYellows,AwayReds,AwaySecondYellows,Referee,RefereeYellows,RefereeReds,Stadium,Location,Attendance
Round 38,19/05/18,Celta,4,1,0,0,Levante,2,3,0,0,Ricardo De Burgos Bengoetxea,4.96,0.17,Municipal de Balaidos,"Vigo, Spain",10851
Round 38,19/05/18,Leganés,3,1,0,1,Betis,2,0,0,0,Jesus Gil Manzano,5.27,0.26,Estadio Municipal de Butarque,"Leganes, Spain",10813
Round 38,19/05/18,Las Palmas,1,1,0,0,Girona,2,2,0,0,Santiago Jaime Latre,5.58,0.22,Gran Canaria,"Las Palmas de Gran Canaria, Spain",6362
Round 38,19/05/18,Málaga,0,4,0,0,Getafe,1,1,0,0,Daniel Jesus Trujillo Suarez,4.75,0.26,La Rosaleda,"Malaga, Spain",9570
Round 38,19/05/18,Sevilla,1,2,0,0,Alavés,0,2,0,0,Carlos Del Cerro Grande,4.81,0.22,Ramón Sánchez Pizjuán,"Seville, Spain",22513
Round 38,19/05/18,Villarreal,2,4,0,0,Real Madrid,2,3,0,0,Jose Maria Sanchez Martinez,5.74,0.28,Estadio de la Ceramica,"Villarreal, Spain",18891
Round 38,20/05/18,Valencia,2,0,0,0,Deportivo,1,0,0,0,David Medie Jimenez,4.94,0.31,Mestalla,"Valencia, Spain",35376
Round 38,20/05/18,Athletic Club,0,0,0,0,Espanyol,1,1,0,0,David Fernandez Borbalan,5.63,0.31,San Mamés,"Bilbao, Spain",28492
Round 38,20/05/18,Atl. Madrid,2,5,0,1,Eibar,2,2,0,0,Alfonso Alvarez Izquierdo,5.72,0.36,Cívitas Metropolitano,"Madrid, Spain",63229
Round 38,20/05/18,Barcelona,1,3,0,0,Real Sociedad,0,2,0,0,José Luis Munuera Montero,4.75,0.37,Spotify Camp Nou,"Barcelona, Spain",84168
Round 37,12/5/2018,Real Sociedad,3,1,0,0,Leganés,2,2,0,0,David Medie Jimenez,4.94,0.31,Reale Arena,"San Sebastian, Spain",19981
Round 37,12/5/2018,Alavés,3,2,0,0,Athletic Club,1,5,0,0,Javier Estrada Fernandez,5.38,0.25,Estadio de Mendizorroza,"Vitoria-Gasteiz, Spain",19458
Round 37,12/5/2018,Deportivo,2,3,0,0,Villarreal,4,0,0,0,Alejandro Hernandez,5.51,0.27,Riazor,"La Coruna, Spain",12789
Round 37,12/5/2018,Eibar,1,3,0,0,Las Palmas,0,1,0,0,Antonio Mateu Lahoz,5.18,0.22,Ipurua Municipal Stadium,"Eibar, Spain",5107
Round 37,12/5/2018,Getafe,0,3,0,0,Atl. Madrid,1,2,0,0,Javier Alberola Rojas,3.7,0.15,Coliseum Alfonso Pérez,"Getafe, Spain",12187
Round 37,12/5/2018,Girona,0,2,0,0,Valencia,1,3,0,0,Ignacio Iglesias Villanueva,5.62,0.35,Estadi Montilivi,"Girona, Spain",10850
Round 37,12/5/2018,Betis,2,1,0,0,Sevilla,2,4,0,0,Alfonso Alvarez Izquierdo,5.72,0.36,Benito Villamarin,"Seville, Spain",55588
Round 37,12/5/2018,Real Madrid,6,0,0,0,Celta,0,1,0,0,Pablo Gonzales Fuertes,5.91,0.37,Santiago Bernabéu,"Madrid, Spain",56474
Round 37,13/05/18,Espanyol,4,0,0,0,Málaga,1,2,0,0,Juan Martinez Munuera,4.9,0.19,RCDE Stadium,"Cornella, Spain",15004
Round 37,13/05/18,Levante,5,6,0,0,Barcelona,4,7,0,0,Mario Melero Lopez,5.55,0.21,Ciudad de Valencia,"Valencia, Spain",22383
Round 36,4/5/2018,Sevilla,1,4,0,0,Real Sociedad,0,2,0,0,Santiago Jaime Latre,5.58,0.22,Ramón Sánchez Pizjuán,"Seville, Spain",34733
Round 36,5/5/2018,Girona,1,2,0,0,Eibar,4,5,0,0,Daniel Jesus Trujillo Suarez,4.75,0.26,Estadi Montilivi,"Girona, Spain",9706
