AwayAerialswon,AwayBallpossession,AwayDuelswon,AwayFouls,AwayInterceptions,AwayPossessionlost,AwayTackles,AwayTeam,Date,HomeAerialswon,HomeBallpossession,HomeDuelswon,HomeFouls,HomeInterceptions,HomePossessionlost,HomeTackles,HomeTeam,Round
-1,56%,65,18,-1,144,-1,Valencia,28/10/17,-1,44%,61,19,-1,144,-1,Alavés,Round 10
-1,55%,61,20,-1,143,-1,Villarreal,28/10/17,-1,45%,69,13,-1,141,-1,Atl. Madrid,Round 10
-1,61%,65,12,-1,143,-1,Barcelona,28/10/17,-1,39%,58,15,-1,140,-1,Athletic Club,Round 10
-1,39%,63,19,-1,197,-1,Leganés,28/10/17,-1,61%,67,16,-1,159,-1,Sevilla,Round 10
-1,56%,62,16,-1,140,-1,Real Sociedad,29/10/17,-1,44%,48,19,-1,148,-1,Getafe,Round 10
-1,62%,66,11,-1,141,-1,Real Madrid,29/10/17,-1,38%,52,21,-1,122,-1,Girona,Round 10
-1,31%,41,16,-1,160,-1,Levante,29/10/17,-1,69%,60,8,-1,171,-1,Eibar,Round 10
-1,65%,62,12,-1,132,-1,Celta,29/10/17,-1,35%,39,20,-1,140,-1,Málaga,Round 10
-1,61%,42,17,-1,143,-1,Betis,30/10/17,-1,39%,61,10,-1,147,-1,Espanyol,Round 10
-1,38%,49,15,-1,125,-1,Deportivo,30/10/17,-1,62%,55,11,-1,144,-1,Las Palmas,Round 10
-1,49%,69,16,-1,169,-1,Getafe,21/10/17,-1,51%,67,18,-1,173,-1,Levante,Round 9
-1,32%,56,9,-1,116,-1,Alavés,21/10/17,-1,68%,40,18,-1,107,-1,Betis,Round 9
16,48%,60,21,10,126,25,Sevilla,21/10/17,17,52%,56,15,13,123,12,Valencia,Round 9
8,34%,37,11,14,120,15,Málaga,21/10/17,9,66%,52,10,11,121,20,Barcelona,Round 9
-1,50%,52,9,-1,117,-1,Las Palmas,22/10/17,-1,50%,42,14,-1,108,-1,Villarreal,Round 9
-1,33%,47,19,-1,125,-1,Atl. Madrid,22/10/17,-1,67%,65,13,-1,138,-1,Celta,Round 9
-1,62%,73,16,-1,160,-1,Athletic Club,22/10/17,-1,38%,66,15,-1,156,-1,Leganés,Round 9
-1,42%,40,7,-1,130,-1,Eibar,22/10/17,-1,58%,45,9,-1,134,-1,Real Madrid,Round 9
-1,39%,39,15,-1,130,-1,Espanyol,23/10/17,-1,61%,58,11,-1,144,-1,Real Sociedad,Round 9
-1,40%,51,16,-1,136,-1,Girona,23/10/17,-1,60%,45,9,-1,149,-1,Deportivo,Round 9
-1,42%,50,13,-1,148,-1,Levante,13/10/17,-1,58%,68,9,-1,162,-1,Espanyol,Round 8
-1,59%,64,9,-1,142,-1,Sevilla,14/10/17,-1,41%,69,18,-1,154,-1,Athletic Club,Round 8
-1,69%,74,8,-1,143,-1,Real Madrid,14/10/17,-1,31%,42,23,-1,135,-1,Getafe,Round 8
-1,74%,50,7,-1,132,-1,Real Sociedad,14/10/17,-1,26%,45,11,-1,119,-1,Alavés,Round 8
-1,69%,58,10,-1,145,-1,Barcelona,14/10/17,-1,31%,43,12,-1,123,-1,Atl. Madrid,Round 8
-1,45%,47,11,-1,150,-1,Deportivo,15/10/17,-1,55%,49,9,-1,166,-1,Eibar,Round 8
-1,48%,52,20,-1,118,-1,Villarreal,15/10/17,-1,52%,63,12,-1,149,-1,Girona,Round 8
-1,46%,80,21,-1,160,-1,Leganés,15/10/17,-1,54%,66,21,-1,171,-1,Málaga,Round 8
-1,42%,55,11,-1,111,-1,Valencia,15/10/17,-1,58%,37,11,-1,124,-1,Betis,Round 8
-1,41%,39,12,-1,102,-1,Celta,16/10/17,-1,59%,40,13,-1,110,-1,Las Palmas,Round 8
-1,36%,48,17,-1,128,-1,Girona,29/09/17,-1,64%,45,9,-1,129,-1,Celta,Round 7
-1,38%,60,21,-1,167,-1,Getafe,30/09/17,-1,62%,63,16,-1,155,-1,Deportivo,Round 7
-1,38%,54,12,-1,156,-1,Málaga,30/09/17,-1,62%,70,11,-1,153,-1,Sevilla,Round 7
-1,37%,50,18,-1,122,-1,Alavés,30/09/17,-1,63%,45,11,-1,142,-1,Levante,Round 7
-1,62%,65,13,-1,179,-1,Atl. Madrid,30/09/17,-1,38%,63,13,-1,167,-1,Leganés,Round 7
-1,45%,42,17,-1,105,-1,Betis,01/10/17,-1,55%,39,9,-1,127,-1,Real Sociedad,Round 7
-1,52%,40,11,-1,114,-1,Las Palmas,01/10/17,-1,48%,51,10,-1,110,-1,Barcelona,Round 7
-1,61%,72,16,-1,139,-1,Athletic Club,01/10/17,-1,39%,64,18,-1,127,-1,Valencia,Round 7
-1,41%,60,9,-1,162,-1,Eibar,01/10/17,-1,59%,48,15,-1,163,-1,Villarreal,Round 7
-1,36%,50,10,-1,130,-1,Espanyol,01/10/17,-1,64%,56,8,-1,127,-1,Real Madrid,Round 7
-1,62%,61,17,-1,144,-1,Sevilla,23/09/17,-1,38%,63,11,-1,137,-1,Atl. Madrid,Round 6
-1,68%,47,19,-1,129,-1,Real Madrid,23/09/17,-1,32%,50,19,-1,113,-1,Alavés,Round 6
-1,54%,71,8,-1,135,-1,Athletic Club,23/09/17,-1,46%,50,16,-1,154,-1,Málaga,Round 6
7,60%,51,5,11,131,13,Barcelona,23/09/17,9,40%,30,21,14,135,13,Girona,Round 6
-1,63%,54,7,-1,129,-1,Deportivo,24/09/17,-1,37%,36,16,-1,107,-1,Espanyol,Round 6
-1,61%,57,16,-1,151,-1,Villarreal,24/09/17,-1,39%,60,11,-1,153,-1,Getafe,Round 6
-1,51%,37,5,-1,185,-1,Celta,24/09/17,-1,49%,55,14,-1,196,-1,Eibar,Round 6
-1,30%,62,15,-1,128,-1,Leganés,24/09/17,-1,70%,55,10,-1,158,-1,Las Palmas,Round 6
-1,43%,47,13,-1,111,-1,Valencia,24/09/17,-1,57%,43,11,-1,116,-1,Real Sociedad,Round 6
-1,32%,34,5,-1,116,-1,Levante,25/09/17,-1,68%,39,9,-1,100,-1,Betis,Round 6
-1,51%,42,10,-1,153,-1,Málaga,19/09/17,-1,49%,67,9,-1,116,-1,Valencia,Round 5
-1,40%,45,9,-1,122,-1,Eibar,19/09/17,-1,60%,50,4,-1,133,-1,Barcelona,Round 5
-1,44%,64,12,-1,141,-1,Atl. Madrid,20/09/17,-1,56%,55,12,-1,157,-1,Athletic Club,Round 5
-1,42%,65,20,-1,166,-1,Girona,20/09/17,-1,58%,70,19,-1,172,-1,Leganés,Round 5
-1,43%,57,19,-1,148,-1,Alavés,20/09/17,-1,57%,68,16,-1,152,-1,Deportivo,Round 5
-1,40%,47,11,-1,111,-1,Betis,20/09/17,-1,60%,43,13,-1,131,-1,Real Madrid,Round 5
-1,41%,58,8,-1,126,-1,Las Palmas,20/09/17,-1,59%,47,21,-1,148,-1,Sevilla,Round 5
-1,46%,59,10,-1,138,-1,Espanyol,21/09/17,-1,54%,45,17,-1,133,-1,Villarreal,Round 5
-1,34%,53,21,-1,153,-1,Getafe,21/09/17,-1,66%,59,9,-1,167,-1,Celta,Round 5
-1,68%,45,11,-1,132,-1,Real Sociedad,21/09/17,-1,32%,36,13,-1,124,-1,Levante,Round 5
-1,43%,67,20,-1,205,-1,Leganés,15/09/17,-1,57%,73,15,-1,199,-1,Eibar,Round 4
-1,54%,71,11,-1,139,-1,Valencia,16/09/17,-1,46%,50,21,-1,157,-1,Levante,Round 4
-1,71%,52,14,-1,134,-1,Barcelona,16/09/17,-1,29%,56,15,-1,129,-1,Getafe,Round 4
-1,39%,39,19,-1,123,-1,Deportivo,16/09/17,-1,61%,60,13,-1,129,-1,Betis,Round 4
-1,35%,60,15,-1,129,-1,Málaga,16/09/17,-1,65%,53,9,-1,149,-1,Atl. Madrid,Round 4
-1,52%,48,25,-1,117,-1,Villarreal,17/09/17,-1,48%,75,12,-1,128,-1,Alavés,Round 4
-1,55%,57,19,-1,129,-1,Sevilla,17/09/17,-1,45%,67,14,-1,141,-1,Girona,Round 4
-1,45%,42,19,-1,141,-1,Athletic Club,17/09/17,-1,55%,57,12,-1,136,-1,Las Palmas,Round 4
-1,50%,47,15,-1,125,-1,Real Madrid,17/09/17,-1,50%,42,12,-1,124,-1,Real Sociedad,Round 4
-1,65%,51,14,-1,152,-1,Celta,18/09/17,-1,35%,54,12,-1,139,-1,Espanyol,Round 4
-1,39%,47,20,-1,165,-1,Getafe,08/09/17,-1,61%,64,14,-1,183,-1,Leganés,Round 3
-1,32%,41,16,-1,119,-1,Levante,09/09/17,-1,68%,49,9,-1,138,-1,Real Madrid,Round 3
-1,51%,58,14,-1,152,-1,Atl. Madrid,09/09/17,-1,49%,62,16,-1,142,-1,Valencia,Round 3
-1,41%,56,18,-1,172,-1,Eibar,09/09/17,-1,59%,55,14,-1,175,-1,Sevilla,Round 3
-1,24%,42,18,-1,114,-1,Espanyol,09/09/17,-1,76%,51,11,-1,132,-1,Barcelona,Round 3
