Round,Date,HomeTeam,HomeGoals,HomeYellows,HomeReds,HomeSecondYellows,AwayTeam,AwayGoals,AwayYellows,AwayReds,AwaySecondYellows,Referee,RefereeYellows,RefereeReds,Stadium,Location,Attendance
Round 38,13/05/16,Valencia,0,2,0,0,Real Sociedad,1,2,0,0,Carlos Velasco Carballo,5.42,0.29,Mestalla,"Valencia, Spain",27777.0
Round 38,14/05/16,Deportivo,0,1,0,0,Real Madrid,2,3,0,0,Antonio Mateu Lahoz,5.18,0.22,Riazor,"La Coruna, Spain",29017.0
Round 38,14/05/16,Granada,0,5,0,0,Barcelona,3,2,0,0,Alejandro Hernandez,5.51,0.27,Estadio Nuevo Los Carmenes,"Granada, Spain",21692.0
Round 38,14/05/16,Athletic Club,3,1,1,0,Sevilla,1,3,2,0,Alfonso Alvarez Izquierdo,5.72,0.36,San Mamés,"Bilbao, Spain",43876.0
Round 38,14/05/16,Atl. Madrid,2,4,0,0,Celta,0,5,0,0,David Fernandez Borbalan,5.63,0.31,Vicente Calderón,"Madrid, Spain",42139.0
Round 38,15/05/16,Málaga,4,1,0,0,Las Palmas,1,1,0,0,Ricardo De Burgos Bengoetxea,4.96,0.17,La Rosaleda,"Malaga, Spain",17913.0
Round 38,15/05/16,Espanyol,4,4,0,0,Eibar,2,3,0,0,Mario Melero Lopez,5.55,0.21,RCDE Stadium,"Cornella, Spain",13501.0
Round 38,15/05/16,Rayo Vallecano,3,1,0,0,Levante,1,3,0,0,Carlos Clos Gomez,5.33,0.3,Estadio de Vallecas,"Madrid, Spain",12547.0
Round 38,15/05/16,Betis,2,1,0,0,Getafe,1,8,1,0,Jesus Gil Manzano,5.27,0.26,Benito Villamarin,"Seville, Spain",40537.0
Round 38,15/05/16,Sporting,2,1,0,0,Villarreal,0,2,0,0,Alberto Undiano,4.53,0.14,El Molinón,"Gijon, Spain",27834.0
Round 37,8/5/2016,Barcelona,5,2,0,0,Espanyol,0,7,0,0,Jesus Gil Manzano,5.27,0.26,Spotify Camp Nou,"Barcelona, Spain",91610.0
Round 37,8/5/2016,Celta,1,0,0,0,Málaga,0,2,0,0,Carlos Del Cerro Grande,4.81,0.22,Municipal de Balaidos,"Vigo, Spain",21721.0
Round 37,8/5/2016,Eibar,1,1,0,0,Betis,1,3,0,0,Juan Martinez Munuera,4.9,0.19,Ipurua Municipal Stadium,"Eibar, Spain",5166.0
Round 37,8/5/2016,Getafe,1,3,0,0,Sporting,1,2,0,1,Alfonso Alvarez Izquierdo,5.72,0.36,Coliseum Alfonso Pérez,"Getafe, Spain",13028.0
Round 37,8/5/2016,Las Palmas,0,1,0,0,Athletic Club,0,1,0,0,Pedro Jesus Perez Montero,5.26,0.25,Gran Canaria,"Las Palmas de Gran Canaria, Spain",27410.0
Round 37,8/5/2016,Levante,2,1,0,0,Atl. Madrid,1,1,0,0,Jose Luis Gonzalez Gonzalez,4.82,0.22,Ciudad de Valencia,"Valencia, Spain",12054.0
Round 37,8/5/2016,Real Madrid,3,1,0,0,Valencia,2,4,1,0,David Fernandez Borbalan,5.63,0.31,Santiago Bernabéu,"Madrid, Spain",72987.0
Round 37,8/5/2016,Real Sociedad,2,2,1,0,Rayo Vallecano,1,1,0,0,Santiago Jaime Latre,5.58,0.22,Reale Arena,"San Sebastian, Spain",18873.0
Round 37,8/5/2016,Sevilla,1,4,0,0,Granada,4,1,0,0,Alberto Undiano,4.53,0.14,Ramón Sánchez Pizjuán,"Seville, Spain",21915.0
Round 37,8/5/2016,Villarreal,0,3,0,0,Deportivo,2,1,0,0,Javier Estrada Fernandez,5.38,0.25,Estadio de la Ceramica,"Villarreal, Spain",13247.0
Round 36,29/04/16,Sporting,2,2,0,0,Eibar,0,2,0,0,Alejandro Hernandez,5.51,0.27,El Molinón,"Gijon, Spain",26035.0
Round 36,30/04/16,Real Sociedad,0,4,0,0,Real Madrid,1,4,0,0,Alberto Undiano,4.53,0.14,Reale Arena,"San Sebastian, Spain",26426.0
Round 36,30/04/16,Atl. Madrid,1,1,0,0,Rayo Vallecano,0,1,0,0,Jose Maria Sanchez Martinez,5.74,0.28,Vicente Calderón,"Madrid, Spain",49263.0
Round 36,30/04/16,Betis,0,4,0,1,Barcelona,2,3,0,0,Antonio Mateu Lahoz,5.18,0.22,Benito Villamarin,"Seville, Spain",44015.0
Round 36,30/04/16,Granada,3,3,0,0,Las Palmas,2,2,0,0,Jose Luis Gonzalez Gonzalez,4.82,0.22,Estadio Nuevo Los Carmenes,"Granada, Spain",21291.0
Round 36,1/5/2016,Athletic Club,2,1,0,0,Celta,1,5,0,1,Javier Estrada Fernandez,5.38,0.25,San Mamés,"Bilbao, Spain",42362.0
Round 36,1/5/2016,Espanyol,1,3,0,0,Sevilla,0,3,0,0,Juan Martinez Munuera,4.9,0.19,RCDE Stadium,"Cornella, Spain",27654.0
Round 36,1/5/2016,Deportivo,0,2,0,1,Getafe,2,6,0,0,Carlos Clos Gomez,5.33,0.3,Riazor,"La Coruna, Spain",25007.0
Round 36,1/5/2016,Valencia,0,1,0,0,Villarreal,2,2,0,0,Carlos Del Cerro Grande,4.81,0.22,Mestalla,"Valencia, Spain",38283.0
Round 36,2/5/2016,Málaga,3,2,0,0,Levante,1,4,0,0,Inaki Vicandi Garrido,4.39,0.32,La Rosaleda,"Malaga, Spain",17562.0
Round 35,22/04/16,Las Palmas,4,4,0,0,Espanyol,0,4,0,0,Mario Melero Lopez,5.55,0.21,Gran Canaria,"Las Palmas de Gran Canaria, Spain",19358.0
Round 35,23/04/16,Rayo Vallecano,2,6,0,0,Real Madrid,3,1,0,0,Alejandro Hernandez,5.51,0.27,Estadio de Vallecas,"Madrid, Spain",13314.0
Round 35,23/04/16,Atl. Madrid,1,3,0,0,Málaga,0,3,0,0,Antonio Mateu Lahoz,5.18,0.22,Vicente Calderón,"Madrid, Spain",47621.0
Round 35,23/04/16,Barcelona,6,0,0,0,Sporting,0,3,0,1,Carlos Clos Gomez,5.33,0.3,Spotify Camp Nou,"Barcelona, Spain",77299.0
Round 35,23/04/16,Eibar,1,0,0,0,Deportivo,1,1,0,0,Eduardo Prieto Iglesias,4.81,0.21,Ipurua Municipal Stadium,"Eibar, Spain",4606.0
Round 35,24/04/16,Levante,2,2,0,0,Athletic Club,2,1,0,0,Ignacio Iglesias Villanueva,5.62,0.35,Ciudad de Valencia,"Valencia, Spain",15263.0
Round 35,24/04/16,Sevilla,2,5,0,0,Betis,0,4,0,0,Carlos Velasco Carballo,5.42,0.29,Ramón Sánchez Pizjuán,"Seville, Spain",39523.0
Round 35,24/04/16,Getafe,2,4,0,0,Valencia,2,1,0,0,Ricardo De Burgos Bengoetxea,4.96,0.17,Coliseum Alfonso Pérez,"Getafe, Spain",11637.0
Round 35,24/04/16,Villarreal,0,4,0,0,Real Sociedad,0,1,0,0,David Fernandez Borbalan,5.63,0.31,Estadio de la Ceramica,"Villarreal, Spain",17215.0
Round 35,25/04/16,Celta,2,2,0,0,Granada,1,3,0,0,Jesus Gil Manzano,5.27,0.26,Municipal de Balaidos,"Vigo, Spain",18224.0
Round 34,19/04/16,Espanyol,1,1,0,0,Celta,1,1,0,0,Eduardo Prieto Iglesias,4.81,0.21,RCDE Stadium,"Cornella, Spain",14227.0
Round 34,19/04/16,Betis,1,2,0,0,Las Palmas,0,2,0,1,Inaki Vicandi Garrido,4.39,0.32,Benito Villamarin,"Seville, Spain",30634.0
Round 34,20/04/16,Deportivo,0,1,0,0,Barcelona,8,0,0,0,Ricardo De Burgos Bengoetxea,4.96,0.17,Riazor,"La Coruna, Spain",28956.0
Round 34,20/04/16,Athletic Club,0,0,0,0,Atl. Madrid,1,0,0,0,Juan Martinez Munuera,4.9,0.19,San Mamés,"Bilbao, Spain",44474.0
Round 34,20/04/16,Málaga,1,1,0,0,Rayo Vallecano,1,3,0,0,Alberto Undiano,4.53,0.14,La Rosaleda,"Malaga, Spain",13759.0
Round 34,20/04/16,Sporting,2,2,0,0,Sevilla,1,1,0,0,Jose Luis Gonzalez Gonzalez,4.82,0.22,El Molinón,"Gijon, Spain",22985.0
Round 34,20/04/16,Valencia,4,1,0,0,Eibar,0,2,0,0,Javier Estrada Fernandez,5.38,0.25,Mestalla,"Valencia, Spain",34309.0
Round 34,20/04/16,Real Madrid,3,2,0,0,Villarreal,0,1,0,0,Carlos Clos Gomez,5.33,0.3,Santiago Bernabéu,"Madrid, Spain",62678.0
Round 34,21/04/16,Real Sociedad,1,2,0,0,Getafe,2,4,0,0,Jose Maria Sanchez Martinez,5.74,0.28,Reale Arena,"San Sebastian, Spain",14334.0
Round 34,21/04/16,Granada,5,6,0,0,Levante,1,6,0,1,Santiago Jaime Latre,5.58,0.22,Estadio Nuevo Los Carmenes,"Granada, Spain",21131.0
Round 33,15/04/16,Levante,2,5,0,0,Espanyol,1,0,0,0,Alejandro Hernandez,5.51,0.27,Ciudad de Valencia,"Valencia, Spain",16192.0
Round 33,16/04/16,Getafe,1,4,0,0,Real Madrid,5,1,0,0,Alfonso Alvarez Izquierdo,5.72,0.36,Coliseum Alfonso Pérez,"Getafe, Spain",11401.0
Round 33,16/04/16,Las Palmas,1,2,0,0,Sporting,1,5,0,0,Alberto Undiano,4.53,0.14,Gran Canaria,"Las Palmas de Gran Canaria, Spain",25052.0
Round 33,16/04/16,Eibar,2,3,0,0,Real Sociedad,1,2,0,0,Mario Melero Lopez,5.55,0.21,Ipurua Municipal Stadium,"Eibar, Spain",5801.0
Round 33,16/04/16,Celta,1,4,0,0,Betis,1,3,0,0,Ricardo De Burgos Bengoetxea,4.96,0.17,Municipal de Balaidos,"Vigo, Spain",14934.0
Round 33,17/04/16,Málaga,0,3,0,0,Athletic Club,1,5,0,0,Jose Maria Sanchez Martinez,5.74,0.28,La Rosaleda,"Malaga, Spain",25052.0
Round 33,17/04/16,Sevilla,1,2,0,0,Deportivo,1,2,0,0,Santiago Jaime Latre,5.58,0.22,Ramón Sánchez Pizjuán,"Seville, Spain",30390.0
Round 33,17/04/16,Atl. Madrid,3,3,0,0,Granada,0,5,0,0,Eduardo Prieto Iglesias,4.81,0.21,Vicente Calderón,"Madrid, Spain",51136.0
Round 33,17/04/16,Rayo Vallecano,2,2,0,0,Villarreal,1,3,0,0,Ignacio Iglesias Villanueva,5.62,0.35,Estadio de Vallecas,"Madrid, Spain",12628.0
Round 33,17/04/16,Barcelona,1,3,0,0,Valencia,2,3,0,0,David Fernandez Borbalan,5.63,0.31,Spotify Camp Nou,"Barcelona, Spain",88667.0
Round 32,8/4/2016,Granada,0,1,0,0,Málaga,0,3,0,0,Javier Estrada Fernandez,5.38,0.25,Estadio Nuevo Los Carmenes,"Granada, Spain",18979.0
Round 32,9/4/2016,Real Madrid,4,1,0,0,Eibar,0,3,0,0,Jose Maria Sanchez Martinez,5.74,0.28,Santiago Bernabéu,"Madrid, Spain",70689.0
Round 32,9/4/2016,Espanyol,1,2,0,0,Atl. Madrid,3,2,0,0,Ricardo De Burgos Bengoetxea,4.96,0.17,RCDE Stadium,"Cornella, Spain",26338.0
Round 32,9/4/2016,Real Sociedad,1,1,0,0,Barcelona,0,3,0,0,Ignacio Iglesias Villanueva,5.62,0.35,Reale Arena,"San Sebastian, Spain",27895.0
Round 32,9/4/2016,Betis,1,4,0,0,Levante,0,3,0,0,Eduardo Prieto Iglesias,4.81,0.21,Benito Villamarin,"Seville, Spain",37091.0
Round 32,10/4/2016,Sporting,0,2,0,0,Celta,1,5,0,0,Antonio Mateu Lahoz,5.18,0.22,El Molinón,"Gijon, Spain",24163.0
Round 32,10/4/2016,Valencia,2,2,0,0,Sevilla,1,2,0,0,Inaki Vicandi Garrido,4.39,0.32,Mestalla,"Valencia, Spain",41569.0
Round 32,10/4/2016,Villarreal,2,2,0,0,Getafe,0,2,0,0,Alberto Undiano,4.53,0.14,Estadio de la Ceramica,"Villarreal, Spain",16550.0
Round 32,10/4/2016,Athletic Club,1,1,0,0,Rayo Vallecano,0,3,0,0,Jesus Gil Manzano,5.27,0.26,San Mamés,"Bilbao, Spain",37597.0
Round 32,11/4/2016,Deportivo,1,1,0,0,Las Palmas,3,1,0,0,Alfonso Alvarez Izquierdo,5.72,0.36,Riazor,"La Coruna, Spain",21686.0
Round 31,1/4/2016,Rayo Vallecano,2,4,1,0,Getafe,0,5,0,0,Santiago Jaime Latre,5.58,0.22,Estadio de Vallecas,"Madrid, Spain",12715.0
Round 31,2/4/2016,Atl. Madrid,5,1,0,0,Betis,1,3,0,0,Jose Luis Gonzalez Gonzalez,4.82,0.22,Vicente Calderón,"Madrid, Spain",50121.0
Round 31,2/4/2016,Las Palmas,2,2,0,0,Valencia,1,4,0,0,Pedro Jesus Perez Montero,5.26,0.25,Gran Canaria,"Las Palmas de Gran Canaria, Spain",27041.0
Round 31,2/4/2016,Barcelona,1,3,0,0,Real Madrid,2,3,0,1,Alejandro Hernandez,5.51,0.27,Spotify Camp Nou,"Barcelona, Spain",99264.0
Round 31,2/4/2016,Celta,1,4,0,0,Deportivo,1,3,0,1,David Fernandez Borbalan,5.63,0.31,Municipal de Balaidos,"Vigo, Spain",21253.0
Round 31,3/4/2016,Athletic Club,1,2,0,0,Granada,1,5,0,0,Carlos Velasco Carballo,5.42,0.29,San Mamés,"Bilbao, Spain",40497.0
Round 31,3/4/2016,Málaga,1,2,0,0,Espanyol,1,4,0,0,Juan Martinez Munuera,4.9,0.19,La Rosaleda,"Malaga, Spain",24234.0
Round 31,3/4/2016,Eibar,1,3,0,0,Villarreal,2,3,0,0,Carlos Del Cerro Grande,4.81,0.22,Ipurua Municipal Stadium,"Eibar, Spain",5176.0
Round 31,3/4/2016,Sevilla,1,4,0,0,Real Sociedad,2,4,0,1,Carlos Clos Gomez,5.33,0.3,Ramón Sánchez Pizjuán,"Seville, Spain",32127.0
