names,from,ngames,yellow,red,season,league_info
Alfonso Alvarez Izquierdo,Spain,20,127,7,14-15,laliga_14-15
Carlos Clos Gomez,Spain,19,92,3,14-15,laliga_14-15
Carlos Delgado Ferreiro,Spain,1,10,0,14-15,laliga_14-15
Javier Estrada Fernandez,Spain,13,61,1,14-15,laliga_14-15
Javier Estrada FernÃ¡ndez,Spain,6,41,1,14-15,laliga_14-15
David Fernandez Borbalan,Spain,17,77,3,14-15,laliga_14-15
Vicandi Garrido,Spain,21,66,9,14-15,laliga_14-15
Jesus Gil Manzano,Spain,20,125,6,14-15,laliga_14-15
Jose Gonzalez Gonzalez,Spain,21,123,4,14-15,laliga_14-15
Alejandro Hernandez Hernandez,Spain,21,112,5,14-15,laliga_14-15
Ignacio Iglesias Villanueva,Spain,18,105,5,14-15,laliga_14-15
Santiago Jaime Latre,Spain,18,127,4,14-15,laliga_14-15
Alberto Undiano Mallenco,Spain,20,97,4,14-15,laliga_14-15
Juan Martinez Munuera,Spain,17,81,3,14-15,laliga_14-15
Antonio Miguel Mateu Lahoz,Spain,19,113,11,14-15,laliga_14-15
Mario Melero Lopez,Spain,17,97,1,14-15,laliga_14-15
Pedro Jesus Perez Montero,Spain,18,96,3,14-15,laliga_14-15
Eduardo Prieto,Spain,21,105,4,14-15,laliga_14-15
Jose Antonio Teixeira Vitienes,Spain,16,93,5,14-15,laliga_14-15
Fernando Teixeira Vitienes,Spain,18,108,12,14-15,laliga_14-15
Carlos Velasco Carballo,Spain,19,132,6,14-15,laliga_14-15
Carlos del Cerro Grande,Spain,20,106,4,14-15,laliga_14-15
Alfonso Alvarez Izquierdo,Spain,18,96,13,15-16,laliga_15-16
Carlos Clos Gomez,Spain,21,126,4,15-16,laliga_15-16
Javier Estrada Fernandez,Spain,20,111,8,15-16,laliga_15-16
David Fernandez Borbalan,Spain,19,109,7,15-16,laliga_15-16
Vicandi Garrido,Spain,19,73,7,15-16,laliga_15-16
Jesus Gil Manzano,Spain,19,120,3,15-16,laliga_15-16
Jose Gonzalez Gonzalez,Spain,21,111,6,15-16,laliga_15-16
Alejandro Hernandez Hernandez,Spain,20,110,7,15-16,laliga_15-16
Ignacio Iglesias Villanueva,Spain,19,123,9,15-16,laliga_15-16
Santiago Jaime Latre,Spain,19,104,5,15-16,laliga_15-16
Alberto Undiano Mallenco,Spain,22,108,5,15-16,laliga_15-16
Juan Martinez Munuera,Spain,18,80,3,15-16,laliga_15-16
Antonio Miguel Mateu Lahoz,Spain,20,104,3,15-16,laliga_15-16
Mario Melero Lopez,Spain,13,90,4,15-16,laliga_15-16
Pedro Jesus Perez Montero,Spain,17,87,2,15-16,laliga_15-16
Eduardo Prieto,Spain,20,103,3,15-16,laliga_15-16
Jose Maria Sanchez Martinez,Spain,19,137,6,15-16,laliga_15-16
Carlos Velasco Carballo,Spain,18,114,8,15-16,laliga_15-16
Ricardo de Burgos,Spain,19,87,2,15-16,laliga_15-16
Carlos del Cerro Grande,Spain,19,103,4,15-16,laliga_15-16
Alfonso Alvarez Izquierdo,Spain,18,111,3,16-17,laliga_16-17
Carlos Clos Gomez,Spain,20,101,4,16-17,laliga_16-17
Javier Estrada Fernandez,Spain,18,107,6,16-17,laliga_16-17
David Fernandez Borbalan,Spain,20,101,4,16-17,laliga_16-17
Vicandi Garrido,Spain,19,74,4,16-17,laliga_16-17
Jesus Gil Manzano,Spain,20,125,5,16-17,laliga_16-17
Jose Gonzalez Gonzalez,Spain,23,103,3,16-17,laliga_16-17
Alejandro Hernandez Hernandez,Spain,18,98,7,16-17,laliga_16-17
Ignacio Iglesias Villanueva,Spain,20,113,4,16-17,laliga_16-17
Santiago Jaime Latre,Spain,20,109,3,16-17,laliga_16-17
Alberto Undiano Mallenco,Spain,18,93,3,16-17,laliga_16-17
Juan Martinez Munuera,Spain,22,114,4,16-17,laliga_16-17
Antonio Miguel Mateu Lahoz,Spain,16,85,1,16-17,laliga_16-17
Mario Melero Lopez,Spain,18,102,5,16-17,laliga_16-17
Jose Luis Munuera Montero,Spain,18,80,7,16-17,laliga_16-17
Daniel Ocon Arraiz,Spain,17,78,3,16-17,laliga_16-17
Jose Maria Sanchez Martinez,Spain,21,102,4,16-17,laliga_16-17
Daniel Jesus Trujillo Suarez,Spain,17,78,5,16-17,laliga_16-17
Ricardo de Burgos,Spain,18,79,5,16-17,laliga_16-17
Carlos del Cerro Grande,Spain,19,108,8,16-17,laliga_16-17
Javier Alberola Rojas,Spain,21,74,5,17-18,laliga_17-18
Alfonso Alvarez Izquierdo,Spain,16,71,1,17-18,laliga_17-18
Javier Estrada Fernandez,Spain,18,99,1,17-18,laliga_17-18
David Fernandez Borbalan,Spain,18,106,7,17-18,laliga_17-18
Jesus Gil Manzano,Spain,19,102,3,17-18,laliga_17-18
Pablo Gonzalez Fuertes,Spain,19,106,6,17-18,laliga_17-18
Jose Gonzalez Gonzalez,Spain,21,84,3,17-18,laliga_17-18
Alejandro Hernandez Hernandez,Spain,18,95,6,17-18,laliga_17-18
Ignacio Iglesias Villanueva,Spain,20,99,2,17-18,laliga_17-18
Santiago Jaime Latre,Spain,21,110,5,17-18,laliga_17-18
Alberto Undiano Mallenco,Spain,20,84,1,17-18,laliga_17-18
Juan Martinez Munuera,Spain,19,99,3,17-18,laliga_17-18
Antonio Miguel Mateu Lahoz,Spain,17,81,1,17-18,laliga_17-18
David Medie Jimenez,Spain,16,61,4,17-18,laliga_17-18
Mario Melero Lopez,Spain,19,116,4,17-18,laliga_17-18
Jose Luis Munuera Montero,Spain,19,107,5,17-18,laliga_17-18
Jose Maria Sanchez Martinez,Spain,21,109,6,17-18,laliga_17-18
Daniel Jesus Trujillo Suarez,Spain,19,105,5,17-18,laliga_17-18
Ricardo de Burgos,Spain,20,92,2,17-18,laliga_17-18
Carlos del Cerro Grande,Spain,19,82,1,17-18,laliga_17-18
Javier Alberola Rojas,Spain,18,76,2,18-19,laliga_18-19
Adrian Cordero Vega,Spain,18,89,3,18-19,laliga_18-19
Guillermo Cuadra Fernandez,Spain,19,76,4,18-19,laliga_18-19
Javier Estrada Fernandez,Spain,21,128,6,18-19,laliga_18-19
Jesus Gil Manzano,Spain,19,109,6,18-19,laliga_18-19
Pablo Gonzalez Fuertes,Spain,19,90,5,18-19,laliga_18-19
Jose Gonzalez Gonzalez,Spain,19,81,5,18-19,laliga_18-19
Alejandro Hernandez Hernandez,Spain,16,112,3,18-19,laliga_18-19
Ignacio Iglesias Villanueva,Spain,19,90,10,18-19,laliga_18-19
Santiago Jaime Latre,Spain,19,89,4,18-19,laliga_18-19
Alberto Undiano Mallenco,Spain,20,93,2,18-19,laliga_18-19
Juan Martinez Munuera,Spain,19,95,3,18-19,laliga_18-19
Antonio Miguel Mateu Lahoz,Spain,19,109,5,18-19,laliga_18-19
David Medie Jimenez,Spain,17,80,3,18-19,laliga_18-19
Mario Melero Lopez,Spain,20,101,3,18-19,laliga_18-19
Jose Luis Munuera Montero,Spain,19,111,5,18-19,laliga_18-19
Eduardo Prieto,Spain,19,79,0,18-19,laliga_18-19
Jose Maria Sanchez Martinez,Spain,21,119,5,18-19,laliga_18-19
Ricardo de Burgos,Spain,20,109,2,18-19,laliga_18-19
Carlos del Cerro Grande,Spain,19,83,3,18-19,laliga_18-19
Javier Alberola Rojas,Spain,20,68,3,19-20,laliga_19-20
Adrian Cordero Vega,Spain,20,82,3,19-20,laliga_19-20
Guillermo Cuadra Fernandez,Spain,20,101,4,19-20,laliga_19-20
Javier Estrada Fernandez,Spain,20,135,10,19-20,laliga_19-20
Jesus Gil Manzano,Spain,19,89,6,19-20,laliga_19-20
Pablo Gonzalez Fuertes,Spain,19,112,3,19-20,laliga_19-20
Jose Gonzalez Gonzalez,Spain,18,76,3,19-20,laliga_19-20
Alejandro Hernandez Hernandez,Spain,19,104,3,19-20,laliga_19-20
Santiago Jaime Latre,Spain,17,82,7,19-20,laliga_19-20
Juan Martinez Munuera,Spain,20,105,3,19-20,laliga_19-20
Antonio Miguel Mateu Lahoz,Spain,21,111,5,19-20,laliga_19-20
David Medie Jimenez,Spain,19,118,5,19-20,laliga_19-20
Mario Melero Lopez,Spain,19,115,4,19-20,laliga_19-20
Jose Luis Munuera Montero,Spain,19,74,7,19-20,laliga_19-20
Valentin Pizarro Gomez,Spain,18,67,4,19-20,laliga_19-20
Eduardo Prieto,Spain,18,97,7,19-20,laliga_19-20
Jose Maria Sanchez Martinez,Spain,19,110,6,19-20,laliga_19-20
Cesar Soto Grado,Spain,19,101,1,19-20,laliga_19-20
Ricardo de Burgos,Spain,17,94,3,19-20,laliga_19-20
Carlos del Cerro Grande,Spain,19,72,2,19-20,laliga_19-20
Javier Alberola Rojas,Spain,20,63,0,20-21,laliga_20-21
Adrian Cordero Vega,Spain,18,78,7,20-21,laliga_20-21
Guillermo Cuadra Fernandez,Spain,21,74,3,20-21,laliga_20-21
Isidro Diaz de Mera Escuderos,Spain,19,87,6,20-21,laliga_20-21
Javier Estrada Fernandez,Spain,22,88,3,20-21,laliga_20-21
Jorge Figueroa Vazquez,Spain,18,67,4,20-21,laliga_20-21
Jesus Gil Manzano,Spain,19,93,3,20-21,laliga_20-21
Pablo Gonzalez Fuertes,Spain,21,110,5,20-21,laliga_20-21
Alejandro Hernandez Hernandez,Spain,17,89,1,20-21,laliga_20-21
Santiago Jaime Latre,Spain,19,83,4,20-21,laliga_20-21
Juan Martinez Munuera,Spain,17,76,3,20-21,laliga_20-21
Antonio Miguel Mateu Lahoz,Spain,18,84,3,20-21,laliga_20-21
David Medie Jimenez,Spain,18,91,9,20-21,laliga_20-21
Mario Melero Lopez,Spain,18,73,1,20-21,laliga_20-21
Jose Luis Munuera Montero,Spain,20,53,3,20-21,laliga_20-21
Valentin Pizarro Gomez,Spain,18,74,6,20-21,laliga_20-21
Jose Maria Sanchez Martinez,Spain,18,105,3,20-21,laliga_20-21
Cesar Soto Grado,Spain,19,86,1,20-21,laliga_20-21
Ricardo de Burgos,Spain,19,90,4,20-21,laliga_20-21
Carlos del Cerro Grande,Spain,21,108,6,20-21,laliga_20-21
Martin Atkinson,West Yorkshire,32,127,7,14-15,epl_14-15
Stuart Attwell,Warwickshire,1,1,0,14-15,epl_14-15
Mark Clattenburg,England,27,93,3,14-15,epl_14-15
Mike Dean,Wirral,29,123,7,14-15,epl_14-15
Phil Dowd,Staffordshire,21,95,4,14-15,epl_14-15
Roger East,Wiltshire,17,53,2,14-15,epl_14-15
Chris Foy,Merseyside,16,52,5,14-15,epl_14-15
Kevin Friend,Leicestershire,23,100,2,14-15,epl_14-15
Mike Jones,Chester,21,60,5,14-15,epl_14-15
Robert Madley,West Yorkshire,11,28,0,14-15,epl_14-15
Andre Marriner,West Midlands,20,86,1,14-15,epl_14-15
Lee Mason,Lancashire,25,71,5,14-15,epl_14-15
Jonathan Moss,West Yorkshire,30,114,8,14-15,epl_14-15
Michael Oliver,Northumberland,28,96,5,14-15,epl_14-15
Craig Pawson,South Yorkshire,21,72,7,14-15,epl_14-15
Lee Probert,Wiltshire,7,26,3,14-15,epl_14-15
Graham Scott,Oxfordshire,1,7,0,14-15,epl_14-15
Keith Stroud,Hampshire,1,2,0,14-15,epl_14-15
Neil Swarbrick,Lancashire,19,75,2,14-15,epl_14-15
Anthony Taylor,Cheshire,29,113,5,14-15,epl_14-15
Paul Tierney,Lancashire,1,3,0,14-15,epl_14-15
Martin Atkinson,West Yorkshire,29,100,1,15-16,epl_15-16
Stuart Attwell,Warwickshire,4,12,1,15-16,epl_15-16
Mark Clattenburg,England,30,97,6,15-16,epl_15-16
Mike Dean,Wirral,33,111,9,15-16,epl_15-16
Roger East,Wiltshire,25,73,1,15-16,epl_15-16
